mood,track_name,artist,track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
happy,Classic,MKTO,6FE2iI43OZnszFLuLtvvmg,0.0384,0.72,0.791,0,1,0.157,-4.689,1,0.124,102.071,4,0.756
happy,Walking On Sunshine,Katrina & The Waves,05wIrZSwuaVWhcv5FfqeH0,0.0116,0.596,0.869,0.173,10,0.0678,-11.97,1,0.037,109.902,4,0.944
happy,Shut Up and Dance,WALK THE MOON,4kbj5MwxO1bq9wjT5g9HaA,0.00701,0.578,0.866,0,1,0.257,-3.804,1,0.0619,128.038,4,0.619
happy,Animal,Neon Trees,1fBl642IhJOE5U319Gy2Go,0.000346,0.482,0.833,0,5,0.365,-5.611,1,0.0449,148.039,4,0.74
happy,Electric Feel,MGMT,3FtYbEfBqAlGO46NUDQSAt,0.0709,0.763,0.803,0.285,1,0.348,-3.713,1,0.0351,103.04,3,0.561
happy,Juice,Lizzo,0k664IuFwVP557Gnx7RhIl,0.00611,0.767,0.889,0,7,0.402,-2.988,1,0.0963,119.93,4,0.843
happy,Golden,Harry Styles,45S5WTQEGOB1VHr1Q4FuPl,0.21,0.448,0.838,0.000131,4,0.131,-5.257,0,0.0557,139.863,4,0.254
happy,Wait a Minute!,WILLOW,0y60itmpH0aPKsFiGxmtnh,0.0371,0.764,0.705,1.94E-05,3,0.0943,-5.279,0,0.0278,101.003,4,0.672
happy,OctaHate,Ryn Weaver,7JVfDagtyWy9bYsaf37H9K,0.593,0.617,0.672,1.31E-05,6,0.106,-6.274,1,0.0603,79.979,4,0.361
happy,Promises,Ryn Weaver,1rQVylbMy4s9NLcHPeOL9c,0.0148,0.546,0.751,0.00512,1,0.106,-5.857,0,0.0382,119.846,4,0.0632
happy,July (feat. Leon Bridges),Noah Cyrus,3V0nnQhqvbE3JmiDdnzQFQ,0.853,0.708,0.211,0,9,0.131,-9.603,0,0.0424,72.5,4,0.362
happy,It's You That Makes Me,Prince of Spain,591wWiv6D0i0NTlhvW5K0Q,0.0397,0.569,0.41,0.281,7,0.103,-12.457,1,0.0293,108.962,4,0.0875
happy,Pierre,Ryn Weaver,31c1V9xUONZYk78NE4Id8D,0.289,0.607,0.827,2.95E-06,9,0.718,-4.282,1,0.0484,100.062,4,0.552
happy,Hymn for the Weekend,Coldplay,3RiPr603aXAoi4GHyXx0uy,0.211,0.491,0.693,6.92E-06,0,0.325,-6.487,0,0.0377,90.027,4,0.412
happy,Adventure of a Lifetime,Coldplay,69uxyAqqPIsUyTO8txoP2M,0.00205,0.638,0.924,0.000175,7,0.149,-3.887,1,0.036,111.995,4,0.53
happy,Ain't It Fun,Paramore,1j8z4TTjJ1YOdoFEDwJTQa,0.154,0.61,0.893,4.41E-05,9,0.021,-3.681,1,0.0921,104.031,4,0.673
happy,Best Song Ever,One Direction,5T7ZFtCcOgkpjxcuaeZbw0,0.0227,0.652,0.877,0,1,0.0789,-2.986,1,0.0465,118.491,4,0.486
happy,Locked out of Heaven,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh,0.049,0.726,0.698,0,5,0.309,-4.165,1,0.0431,143.994,4,0.867
happy,Pompeii,Bastille,4Ub8UsjWuewQrPhuepfVpd,0.0755,0.679,0.715,0,9,0.271,-6.383,1,0.0407,127.435,4,0.571
happy,We Are Young (feat. Janelle Monáe),fun.,5rgy6ghBq1eRApCkeUdJXf,0.02,0.378,0.638,7.66E-05,10,0.0849,-5.576,1,0.075,184.086,4,0.735
happy,Dancing Queen,ABBA,0GjEhVFGZW8afUYGChu3Rr,0.358,0.543,0.87,0.000939,9,0.792,-6.514,1,0.0428,100.804,4,0.754
happy,Royals,Lorde,7BFI9QZPQKgYuR2HhDgwbG,0.121,0.674,0.428,0,7,0.132,-9.504,1,0.122,84.878,4,0.337
happy,Drive By,Train,0KAiuUOrLTIkzkpfpn9jb9,0.00107,0.765,0.837,1.06E-05,1,0.0801,-3.113,0,0.032,122.028,4,0.721
happy,Counting Stars,OneRepublic,6sy3LkhNFjJWlaeSMNwQ62,0.0654,0.664,0.705,0,1,0.115,-4.972,0,0.0382,122.017,4,0.477
happy,Just Dance,Lady Gaga,5vQXxfGn1bjv5WESrYVVpw,0.0278,0.821,0.741,2.51E-05,1,0.19,-4.57,0,0.0313,118.984,4,0.741
happy,Marry You,Bruno Mars,6SKwQghsR8AISlxhcwyA9R,0.332,0.621,0.82,0,10,0.104,-4.865,1,0.0367,144.905,4,0.452
happy,On Top Of The World,Imagine Dragons,213x4gsFDm04hSqIUkg88w,0.0841,0.631,0.924,3.59E-06,0,0.084,-5.589,1,0.146,100.045,4,0.755
happy,High Hopes,Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom,0.193,0.579,0.904,0,5,0.064,-2.729,1,0.0618,82.014,4,0.681
sad,A Drop In The Ocean,Javier Colon,7fY6WvN5gbh8lXFGtqrtFd,0.25,0.318,0.56,0,7,0.27,-5.157,1,0.0346,95.885,4,0.355
